oiii_5007_flux,h_beta_flux,nii_6584_flux,h_alpha_flux,sii_6717_flux,sii_6731_flux,oi_6300_flux
969.8688,110.755,425.0442,366.9398,139.8848,145.7626,74.91181
106.3017,122.1668,129.0616,476.7267,110.7969,76.5766,20.31637
259.1809,89.47304,338.8452,409.3466,88.23965,69.30567,35.89457
69.69285,142.8586,284.3853,635.032,87.59338,59.09369,15.6101
21.69698,13.53003,99.57229,29.5897,6.212838,11.86198,7.799789
84.26802,77.19976,307.2814,161.5121,62.47678,62.41287,23.74762
14.51713,23.2249,84.97492,102.0129,19.00813,14.46276,5.004816
40.01483,76.45271,134.2871,316.1046,57.46737,35.51796,13.85199
35.17637,168.5652,240.3409,733.709,129.7915,95.09657,11.7125
48.95993,17.83611,105.1256,72.28526,38.40112,23.72306,14.74279
23.61893,76.11694,224.4049,467.6181,70.62126,55.72034,15.47396
17.3867,20.84396,77.94608,93.9163,29.08915,21.45531,7.938536
47.55841,123.87,277.8812,552.7095,82.02676,62.72124,21.29278
38.24891,71.39637,95.7718,143.2933,41.44933,15.38234,9.890067
19.60059,52.28371,129.0888,241.8007,35.40603,26.60214,5.396471
22.31016,137.6657,204.8672,570.0323,71.56751,47.19635,13.46081
25.95349,14.76599,36.37669,35.32018,8.804817,6.885157,5.810451
208.8557,260.9262,343.9464,1071.544,162.3531,117.3784,32.04854
